DiseaseName,Cure/Treatment,Fertilizer Recommendation,Irrigation Guidelines,Additional Info
Apple___Apple_scab,Apply fungicides like sulfur or myclobutanil. Prune infected branches.,Balanced NPK fertilizer (10-10-10),Avoid overhead irrigation; use drip irrigation.,Common in humid climates. Remove fallen leaves to prevent spread.
Apple___Black_rot,Apply fungicides like captan. Remove and destroy infected fruit and branches.,Potassium-rich fertilizer (0-0-50),Water deeply but infrequently to avoid waterlogging.,"Common in warm, wet weather. Prune for better air circulation."
Apple___Cedar_apple_rust,Apply fungicides like triadimefon. Remove nearby juniper plants.,Calcium-rich fertilizer,Avoid overwatering; ensure proper drainage.,Requires both apple and juniper plants to complete its life cycle.
Cherry_(including_sour)___Powdery_mildew,Apply sulfur or potassium bicarbonate. Prune infected areas.,Low-nitrogen fertilizer,Water early in the day to allow leaves to dry.,Thrives in high humidity and moderate temperatures.
Corn_(maize)___Cercospora_leaf_spot_Gray_leaf_spot,Apply fungicides like azoxystrobin. Rotate crops.,Nitrogen-rich fertilizer (30-0-0),Avoid overhead irrigation; use drip irrigation.,"Common in warm, humid conditions. Remove crop debris after harvest."
Corn_(maize)___Common_rust_,Apply fungicides like chlorothalonil. Plant resistant varieties.,Balanced NPK fertilizer (15-15-15),Water moderately; avoid water stress.,"Spread by wind. Common in cool, wet weather."
Corn_(maize)___Northern_Leaf_Blight,Apply fungicides like mancozeb. Rotate crops and remove debris.,Phosphorus-rich fertilizer (0-20-0),Avoid overwatering; ensure proper drainage.,"Thrives in wet, humid conditions. Plant resistant varieties."
Grape___Black_rot,Apply fungicides like mancozeb. Remove infected fruit and leaves.,Potassium-rich fertilizer (0-0-50),Water deeply but infrequently to avoid waterlogging.,"Common in warm, wet weather. Prune for better air circulation."
Grape___Esca_(Black_Measles),Prune infected wood and apply fungicides like thiophanate-methyl.,Balanced NPK fertilizer (10-10-10),Avoid overwatering; ensure proper drainage.,A fungal disease that affects older vines.
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Apply fungicides like copper-based sprays. Remove infected leaves.,Calcium-rich fertilizer,Water early in the day to allow leaves to dry.,"Common in warm, humid climates."
Orange___Haunglongbing_(Citrus_greening),Remove infected trees. Control psyllid insects with insecticides.,Citrus-specific fertilizer (8-3-9),Water regularly; avoid water stress.,Caused by bacteria spread by psyllid insects. No cure once infected.
Peach___Bacterial_spot,Apply copper-based sprays. Prune infected branches.,Low-nitrogen fertilizer,Avoid overhead irrigation; use drip irrigation.,"Common in warm, wet weather. Plant resistant varieties."
"Pepper,_bell___Bacterial_spot",Apply copper-based sprays. Remove infected plants.,Balanced NPK fertilizer (10-10-10),Water early in the day to allow leaves to dry.,"Spread by rain, wind, and contaminated tools."
"Pepper,_bell___healthy",N/A,Balanced NPK fertilizer (10-10-10),Water regularly; avoid water stress.,Healthy plants require proper care and monitoring.
Potato___Early_blight,Apply fungicides like chlorothalonil. Rotate crops.,Potassium-rich fertilizer (0-0-50),Avoid overhead irrigation; use drip irrigation.,"Common in warm, humid conditions. Remove infected leaves."
Potato___Late_blight,Apply fungicides like mancozeb. Remove and destroy infected plants.,Phosphorus-rich fertilizer (0-20-0),Avoid overwatering; ensure proper drainage.,Caused by the same pathogen as the Irish Potato Famine.
Squash___Powdery_mildew,Apply sulfur or potassium bicarbonate. Prune infected areas.,Low-nitrogen fertilizer,Water early in the day to allow leaves to dry.,Thrives in high humidity and moderate temperatures.
Strawberry___Leaf_scorch,Apply fungicides like thiophanate-methyl. Remove infected leaves.,Balanced NPK fertilizer (10-10-10),Avoid overhead irrigation; use drip irrigation.,"Common in warm, humid conditions. Plant resistant varieties."
Tomato___Bacterial_spot,Apply copper-based sprays. Remove infected plants.,Balanced NPK fertilizer (10-10-10),Water early in the day to allow leaves to dry.,"Spread by rain, wind, and contaminated tools."
Tomato___Early_blight,Apply fungicides like chlorothalonil. Rotate crops.,Potassium-rich fertilizer (0-0-50),Avoid overhead irrigation; use drip irrigation.,"Common in warm, humid conditions. Remove infected leaves."
Tomato___Late_blight,Apply fungicides like mancozeb. Remove and destroy infected plants.,Phosphorus-rich fertilizer (0-20-0),Avoid overwatering; ensure proper drainage.,Caused by the same pathogen as the Irish Potato Famine.
Tomato___Leaf_Mold,Apply fungicides like chlorothalonil. Prune for better air circulation.,Calcium-rich fertilizer,Avoid overhead irrigation; use drip irrigation.,Thrives in high humidity and poor air circulation.
Tomato___Septoria_leaf_spot,Apply fungicides like mancozeb. Remove infected leaves.,Balanced NPK fertilizer (10-10-10),Avoid overhead irrigation; use drip irrigation.,"Common in warm, wet weather. Remove crop debris after harvest."
Tomato___Spider_mites_Two-spotted_spider_mite,Apply miticides like neem oil. Increase humidity.,Balanced NPK fertilizer (10-10-10),Water regularly; avoid water stress.,"Thrives in dry, hot conditions. Keep plants well-watered."
Tomato___Target_Spot,Apply fungicides like chlorothalonil. Remove infected leaves.,Potassium-rich fertilizer (0-0-50),Avoid overhead irrigation; use drip irrigation.,"Common in warm, humid conditions. Plant resistant varieties."
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Control whiteflies with insecticides. Remove infected plants.,Balanced NPK fertilizer (10-10-10),Water regularly; avoid water stress.,Spread by whiteflies. No cure once infected.
Tomato___Tomato_mosaic_virus,Remove infected plants. Control aphids with insecticides.,Balanced NPK fertilizer (10-10-10),Water regularly; avoid water stress.,Spread by aphids and contaminated tools. No cure once infected.
